frame,x,y,xg,yg,area,diam
56,1771.6143344709897,708.122866894198,1766.0,721.0,293,37.0
57,1769.9320652173913,701.9673913043479,1766.0,714.0,368,39.0
58,1759.337899543379,697.8493150684932,1764.5,712.0,876,41.0
59,1762.209900990099,697.5326732673267,1761.8,711.0,505,29.0
60,1749.620938628159,697.14440433213,1750.5,711.0,831,39.0
61,1745.5806938159878,698.7058823529412,1736.5,712.0,663,34.0
62,1741.2515489467162,700.7769516728624,1736.0,717.0,807,34.0
63,1737.2964480874316,702.9931693989071,1735.0,719.0,732,35.0
64,1732.3586097946288,705.740916271722,1735.0,720.0,633,32.0
65,1729.0414673046253,703.7687400318979,1723.0,716.0,627,32.0
66,1725.757055214724,702.9055214723926,1721.0,718.0,815,34.0
67,1708.6855895196506,714.2663755458515,1705.0,725.0,229,25.0
68,1704.713004484305,714.3856502242153,1699.0,724.0,223,20.0
69,1699.8051282051283,712.6307692307693,1694.0,723.0,195,24.0
70,1694.85,713.7785714285715,1690.5,724.0,140,23.0
71,1691.7278481012659,712.2088607594936,1683.5,724.0,158,25.0
72,1688.46192893401,711.4720812182741,1683.0,724.0,197,26.0
73,1688.1850220264316,708.7533039647577,1683.0,723.0,227,27.0
74,1683.5973451327434,710.7389380530974,1676.0,723.0,226,24.0
75,1681.0141509433963,710.2405660377359,1674.5,722.0,212,24.0
76,1674.3609467455622,712.7869822485208,1668.0,721.0,169,22.0
77,1673.4974093264248,711.2383419689119,1665.0,719.0,193,24.0
78,1670.8251366120219,709.9781420765028,1661.5,718.0,183,21.0
79,1668.35,708.0944444444444,1661.0,718.0,180,19.0
80,1662.4661654135339,708.9774436090225,1660.5,717.0,133,17.0
81,1658.7155963302753,709.1009174311927,1660.0,716.0,109,17.0
82,1655.7264957264956,711.1880341880342,1654.5,719.0,117,18.0
83,1653.32,710.51,1653.0,722.0,100,22.0
84,1650.9222222222222,710.6111111111111,1652.5,723.0,90,21.0
85,1648.5753424657535,715.3150684931506,1647.5,727.0,146,23.0
86,1644.4193548387098,718.2043010752689,1645.5,728.0,93,21.0
87,1640.301204819277,715.5180722891566,1638.0,724.0,83,16.0
88,1635.7755102040817,719.9387755102041,1631.0,727.0,98,17.0
89,1629.313253012048,716.6867469879518,1630.5,720.0,83,13.0
90,1621.021978021978,712.934065934066,1620.0,716.0,91,15.0
91,1614.5670103092784,708.0824742268042,1615.0,711.0,97,16.0
92,1610.888888888889,706.7070707070707,1614.5,710.0,99,18.0
93,1608.0661157024792,705.5537190082645,1612.0,709.0,121,20.0
94,1604.5047619047618,706.8571428571429,1608.0,712.0,105,17.0
95,1600.8102189781023,710.8759124087592,1600.5,718.0,137,17.0
96,1593.2203389830509,711.3389830508474,1593.0,717.0,59,13.0
97,1586.4198473282443,717.1679389312977,1585.5,725.0,131,16.0
98,1577.3905325443786,716.9822485207101,1570.5,727.0,169,20.0
99,1571.8401826484019,714.4383561643835,1563.0,725.0,219,26.0
100,1563.1777777777777,712.4166666666666,1555.0,720.0,180,24.0
101,1556.2874251497005,709.2395209580839,1548.0,716.0,167,24.0
102,1553.8,705.4137931034483,1547.5,711.0,145,20.0
103,1547.8910256410256,703.8782051282051,1541.0,711.0,156,19.0
104,1542.489655172414,705.1724137931035,1539.0,713.0,145,17.0
