frame,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,field_x,field_y,timestamp_sec
16,2,894,655,962,825,928,825,703.2030029296875,624.49462890625,0.5333333333333333
16,3,1398,679,1463,778,1430,778,1262.560302734375,407.99755859375,0.5333333333333333
16,4,1460,741,1573,861,1516,861,1288.446533203125,801.066162109375,0.5333333333333333
17,1,144,669,231,821,187,821,-80.98577117919922,580.7911987304688,0.5666666666666667
17,2,894,655,963,825,928,825,703.2030029296875,624.49462890625,0.5666666666666667
17,3,1398,679,1463,778,1430,778,1262.560302734375,407.99755859375,0.5666666666666667
17,4,1460,741,1573,861,1516,861,1288.446533203125,801.066162109375,0.5666666666666667
18,1,144,669,231,821,187,821,-80.98577117919922,580.7911987304688,0.6
18,2,895,655,961,825,928,825,703.2030029296875,624.49462890625,0.6
18,3,1398,679,1463,778,1430,778,1262.560302734375,407.99755859375,0.6
18,4,1460,741,1573,861,1516,861,1288.446533203125,801.066162109375,0.6
19,1,144,669,231,821,187,821,-80.98577117919922,580.7911987304688,0.6333333333333333
19,2,895,655,962,825,928,825,703.2030029296875,624.49462890625,0.6333333333333333
19,3,1398,679,1463,778,1430,778,1262.560302734375,407.99755859375,0.6333333333333333
19,4,1460,741,1573,861,1516,861,1288.446533203125,801.066162109375,0.6333333333333333
20,1,144,670,231,821,187,821,-80.98577117919922,580.7911987304688,0.6666666666666666
20,2,895,656,960,825,927,825,702.156005859375,624.4613037109375,0.6666666666666666
20,3,1398,679,1463,776,1430,776,1264.1798095703125,397.2785949707031,0.6666666666666666
20,4,1460,741,1572,861,1516,861,1288.446533203125,801.066162109375,0.6666666666666666
21,1,145,670,230,822,187,822,-79.6820068359375,585.5442504882812,0.7
