frame,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,field_x,field_y,timestamp_sec
14,3,398,754,476,884,437,884,410.9314880371094,671.8388061523438,0.4666666666666667
14,6,1002,658,1089,837,1045,837,809.2648315429688,585.0341186523438,0.4666666666666667
15,2,1770,655,1882,796,1826,796,1378.8419189453125,505.2147521972656,0.5
15,3,398,755,476,885,437,885,411.4424133300781,673.7742309570312,0.5
15,6,1002,658,1089,837,1045,837,809.2648315429688,585.0341186523438,0.5
16,2,1769,650,1884,795,1826,795,1379.8206787109375,502.781982421875,0.5333333333333333
16,3,398,754,477,884,437,884,410.9314880371094,671.8388061523438,0.5333333333333333
16,6,1003,658,1088,837,1045,837,809.2648315429688,585.0341186523438,0.5333333333333333
17,2,1771,640,1885,796,1828,796,1380.27294921875,505.2548522949219,0.5666666666666667
17,3,398,752,476,884,437,884,410.9314880371094,671.8388061523438,0.5666666666666667
17,6,1002,658,1087,837,1044,837,808.5745849609375,585.0164184570312,0.5666666666666667
18,2,1771,627,1885,795,1828,795,1381.25390625,502.8222351074219,0.6
18,3,399,749,478,884,438,884,411.5885009765625,671.8540649414062,0.6
18,6,1003,657,1087,837,1045,837,809.2648315429688,585.0341186523438,0.6
19,2,1774,620,1869,793,1821,793,1378.1925048828125,497.7915954589844,0.6333333333333333
19,3,399,744,480,884,439,884,412.2454528808594,671.8693237304688,0.6333333333333333
19,6,1002,657,1086,837,1044,837,808.5745849609375,585.0164184570312,0.6333333333333333
20,2,1777,626,1864,792,1820,792,1378.454833984375,495.3145751953125,0.6666666666666666
20,3,399,741,482,884,440,884,412.9024353027344,671.8845825195312,0.6666666666666666
20,6,1002,657,1087,837,1044,837,808.5745849609375,585.0164184570312,0.6666666666666666
21,2,1779,627,1861,792,1820,792,1378.454833984375,495.3145751953125,0.7
21,3,399,738,491,885,445,885,416.6902160644531,673.8959350585938,0.7
21,6,1002,657,1087,837,1044,837,808.5745849609375,585.0164184570312,0.7
22,2,1779,628,1860,793,1819,793,1376.75439453125,497.75103759765625,0.7333333333333333
22,3,400,739,481,884,440,884,412.9024353027344,671.8845825195312,0.7333333333333333
22,6,1002,657,1087,838,1044,838,808.5126953125,587.2017211914062,0.7333333333333333
23,2,1779,631,1853,793,1816,793,1374.596923828125,497.6902160644531,0.7666666666666667
23,3,403,737,478,884,440,884,412.9024353027344,671.8845825195312,0.7666666666666667
23,6,1002,658,1086,837,1044,837,808.5745849609375,585.0164184570312,0.7666666666666667
24,2,1781,644,1854,794,1817,794,1374.34130859375,500.15960693359375,0.8
24,3,404,734,479,884,441,884,413.5593566894531,671.8998413085938,0.8
24,6,1002,658,1085,837,1043,837,807.8842163085938,584.9987182617188,0.8
25,3,406,730,480,884,443,884,414.8731689453125,671.930419921875,0.8333333333333334
