frame,track_id,class,x,y,x1,y1,x2,y2
45,3,0,932,831,896,678,968,831
45,4,0,1463,786,1429,671,1497,786
45,5,0,56,914,2,718,110,914
46,1,0,1048,1026,1003,835,1094,1026
46,2,0,1574,871,1540,716,1609,871
46,3,0,932,830,896,678,969,830
46,4,0,1464,786,1429,671,1499,786
46,5,0,67,901,21,719,113,901
47,1,0,1051,1027,1005,835,1097,1027
47,2,0,1573,870,1540,717,1606,870
47,3,0,932,831,895,677,969,831
47,4,0,1460,786,1429,671,1491,786
47,5,0,73,896,33,723,114,896
48,1,0,1052,1027,1006,834,1099,1027
48,2,0,1572,869,1540,720,1604,869
48,3,0,932,831,895,678,969,831
48,4,0,1458,785,1429,671,1487,785
48,5,0,76,886,40,726,112,886
49,1,0,1053,1027,1006,834,1101,1027
49,2,0,1570,867,1539,723,1602,867
49,3,0,932,831,895,678,969,831
49,4,0,1460,785,1429,671,1491,785
49,5,0,75,882,44,723,106,882
50,1,0,1054,1026,1008,834,1101,1026
50,2,0,1568,868,1536,727,1601,868
50,3,0,932,831,895,678,969,831
50,4,0,1461,786,1429,670,1493,786
50,5,0,73,882,47,719,99,882
51,1,0,1056,1026,1010,834,1103,1026
51,2,0,1566,866,1534,730,1599,866
51,3,0,932,831,895,678,970,831
51,4,0,1458,785,1429,670,1488,785
51,5,0,74,885,50,720,98,885
52,1,0,1058,1026,1012,834,1104,1026
52,2,0,1564,868,1531,734,1597,868
52,3,0,932,831,895,678,970,831
52,4,0,1457,786,1429,670,1486,786
52,5,0,78,890,52,716,105,890
53,1,0,1060,1026,1014,833,1107,1026
53,2,0,1563,869,1530,737,1597,869
53,3,0,932,831,895,679,969,831
53,4,0,1457,785,1429,670,1485,785
53,5,0,90,902,52,717,129,902
54,1,0,1061,1026,1014,833,1109,1026
54,2,0,1563,872,1529,740,1597,872
54,3,0,932,831,895,678,969,831
54,4,0,1457,786,1430,671,1485,786
54,5,0,92,910,53,719,132,910
54,16,0,1469,788,1430,671,1508,788
55,1,0,1062,1026,1015,833,1110,1026
55,2,0,1561,874,1526,742,1597,874
55,3,0,932,831,895,678,969,831
55,4,0,1457,788,1430,671,1484,788
55,5,0,94,908,56,722,133,908
55,16,0,1469,788,1430,671,1509,788
56,1,0,1063,1025,1015,834,1111,1025
56,2,0,1560,875,1524,743,1597,875
56,3,0,932,831,895,679,969,831
56,4,0,1456,789,1429,671,1484,789
56,5,0,96,907,59,725,133,907
56,16,0,1469,789,1429,672,1509,789
57,1,0,1063,1025,1015,834,1112,1025
57,2,0,1559,875,1523,743,1596,875
57,3,0,932,831,895,680,969,831
57,4,0,1457,789,1429,672,1485,789
57,5,0,90,908,59,728,122,908
57,16,0,1470,789,1430,672,1510,789
58,1,0,1064,1025,1015,834,1113,1025
58,2,0,1559,874,1522,742,1596,874
58,3,0,932,830,895,680,969,830
58,4,0,1458,789,1430,672,1487,789
58,5,0,92,912,62,739,122,912
59,1,0,1064,1025,1015,833,1113,1025
59,2,0,1557,874,1520,741,1594,874
59,3,0,932,830,895,680,969,830
59,4,0,1460,788,1430,673,1490,788
59,5,0,95,910,64,744,126,910
60,1,0,1063,1025,1015,832,1111,1025
60,2,0,1556,873,1520,740,1592,873
60,3,0,932,830,895,680,969,830
60,4,0,1458,786,1430,674,1487,786
60,5,0,100,909,69,745,131,909
60,16,0,1469,790,1431,675,1508,790
61,1,0,1063,1025,1016,832,1110,1025
61,2,0,1554,873,1519,737,1590,873
61,3,0,932,830,895,679,969,830
61,5,0,106,908,75,745,138,908
61,16,0,1469,789,1432,676,1507,789
62,1,0,1062,1025,1016,831,1108,1025
62,2,0,1553,872,1516,734,1590,872
62,3,0,932,830,895,679,969,830
62,5,0,113,908,79,744,147,908
62,16,0,1471,788,1434,676,1508,788
63,1,0,1062,1025,1017,831,1108,1025
63,2,0,1553,871,1513,731,1594,871
63,3,0,932,830,895,679,969,830
63,5,0,118,907,81,743,156,907
63,16,0,1471,788,1436,676,1507,788
64,1,0,1062,1025,1018,831,1107,1025
64,2,0,1548,868,1509,728,1588,868
64,3,0,932,830,895,679,969,830
64,5,0,124,903,86,740,163,903
64,16,0,1472,788,1437,677,1507,788
65,1,0,1063,1026,1019,831,1107,1026
65,2,0,1544,868,1503,726,1585,868
65,3,0,932,830,895,680,969,830
65,5,0,129,903,87,739,172,903
65,16,0,1469,786,1438,678,1500,786
66,1,0,1062,1026,1019,831,1106,1026
66,2,0,1545,869,1502,724,1588,869
66,3,0,932,830,895,680,969,830
66,5,0,133,902,91,737,176,902
66,16,0,1468,786,1439,678,1498,786
67,1,0,1063,1026,1020,831,1106,1026
67,2,0,1549,869,1506,722,1593,869
67,3,0,932,830,895,680,969,830
67,5,0,139,903,98,737,180,903
67,16,0,1468,788,1440,680,1497,788
68,1,0,1063,1026,1021,832,1106,1026
68,2,0,1543,871,1503,721,1584,871
68,3,0,932,830,895,680,969,830
68,5,0,144,904,105,736,184,904
68,16,0,1468,789,1439,682,1497,789
69,1,0,1064,1026,1022,832,1106,1026
69,2,0,1541,871,1500,720,1582,871
69,3,0,931,831,895,680,968,831
69,5,0,148,900,111,736,185,900
69,16,0,1467,790,1438,683,1497,790
70,1,0,1065,1026,1023,831,1107,1026
70,2,0,1541,871,1497,722,1586,871
70,3,0,931,830,895,680,968,830
70,5,0,152,899,118,736,187,899
70,16,0,1467,790,1438,684,1496,790
71,1,0,1065,1026,1023,832,1107,1026
71,2,0,1542,871,1492,724,1592,871
71,3,0,931,830,895,680,967,830
71,5,0,163,896,132,735,194,896
71,16,0,1466,791,1437,685,1496,791
72,1,0,1065,1026,1023,832,1108,1026
72,2,0,1531,866,1489,725,1573,866
72,3,0,931,830,895,679,967,830
72,5,0,174,893,148,735,200,893
72,16,0,1467,792,1438,685,1497,792
73,1,0,1066,1026,1024,832,1108,1026
73,2,0,1525,864,1487,728,1564,864
73,3,0,931,830,895,679,967,830
73,5,0,182,892,155,734,209,892
73,16,0,1467,792,1438,683,1497,792
73,21,0,1538,867,1486,729,1591,867
74,1,0,1066,1026,1024,832,1109,1026
74,3,0,931,830,895,679,968,830
74,5,0,187,893,159,730,216,893
74,16,0,1466,793,1438,681,1494,793
74,21,0,1535,865,1481,731,1590,865
75,1,0,1066,1026,1024,831,1109,1026
75,3,0,931,830,895,679,968,830
75,5,0,192,893,161,728,223,893
75,16,0,1464,792,1436,677,1492,792
75,21,0,1532,864,1476,734,1588,864
76,1,0,1067,1026,1024,831,1110,1026
76,3,0,931,830,895,679,968,830
76,5,0,199,894,164,726,235,894
76,21,0,1528,863,1473,736,1584,863
76,4,0,1460,794,1429,674,1491,794
77,1,0,1067,1026,1024,831,1110,1026
77,3,0,931,830,895,679,968,830
77,5,0,205,896,165,724,246,896
77,21,0,1518,860,1470,740,1567,860
77,4,0,1457,792,1423,673,1491,792
78,1,0,1067,1026,1024,831,1111,1026
78,3,0,931,830,895,679,968,830
78,5,0,209,895,167,722,251,895
78,21,0,1513,858,1466,740,1560,858
78,4,0,1452,792,1416,673,1488,792
79,1,0,1067,1026,1024,831,1110,1026
79,3,0,932,830,896,678,968,830
79,5,0,212,894,170,723,254,894
79,21,0,1513,858,1460,740,1567,858
79,4,0,1447,792,1409,673,1485,792
80,1,0,1066,1026,1023,832,1110,1026
80,3,0,932,830,896,678,968,830
80,5,0,217,894,174,725,260,894
80,21,0,1510,858,1454,742,1567,858
80,4,0,1443,793,1405,673,1481,793
81,1,0,1067,1026,1023,832,1111,1026
81,3,0,932,830,896,678,968,830
81,5,0,221,890,180,726,262,890
81,21,0,1505,856,1450,742,1561,856
81,4,0,1436,788,1397,673,1476,788
82,1,0,1065,1026,1021,833,1110,1026
82,3,0,932,831,896,677,968,831
82,5,0,231,889,196,725,267,889
82,21,0,1500,856,1445,742,1556,856
82,4,0,1431,786,1390,671,1473,786
83,1,0,1064,1026,1019,833,1109,1026
83,3,0,931,830,896,677,967,830
83,5,0,241,885,210,726,273,885
83,21,0,1499,857,1445,741,1553,857
83,4,0,1430,789,1388,668,1472,789
84,1,0,1062,1027,1018,833,1107,1027
84,3,0,931,830,896,677,967,830
84,5,0,250,884,221,726,280,884
84,21,0,1495,857,1438,741,1552,857
84,4,0,1426,791,1387,667,1466,791
85,1,0,1061,1027,1016,833,1106,1027
85,3,0,932,830,897,677,967,830
85,5,0,258,884,226,726,290,884
85,21,0,1494,859,1438,739,1551,859
85,4,0,1425,792,1383,665,1467,792
86,1,0,1060,1026,1015,833,1106,1026
86,3,0,933,830,898,676,968,830
86,5,0,262,884,228,724,297,884
86,21,0,1495,861,1440,735,1550,861
86,4,0,1424,792,1382,665,1466,792
87,1,0,1059,1027,1014,834,1105,1027
87,3,0,933,830,899,676,967,830
87,5,0,267,884,228,721,307,884
87,21,0,1494,862,1440,732,1549,862
87,4,0,1421,795,1380,665,1462,795
88,1,0,1058,1027,1011,834,1105,1027
88,3,0,933,831,899,675,968,831
88,5,0,275,885,231,720,320,885
88,21,0,1490,861,1432,727,1548,861
88,4,0,1415,796,1375,661,1455,796
89,1,0,1053,1027,1008,836,1099,1027
89,3,0,934,831,899,676,969,831
89,5,0,284,887,234,719,335,887
89,21,0,1490,860,1434,722,1547,860
89,4,0,1410,793,1373,663,1448,793
90,1,0,1049,1027,1007,836,1092,1027
90,3,0,935,831,900,679,970,831
90,5,0,285,883,238,720,333,883
90,21,0,1494,859,1443,717,1546,859
90,4,0,1408,797,1372,665,1444,797
91,1,0,1045,1027,1003,836,1087,1027
91,3,0,934,831,900,681,969,831
91,5,0,294,881,243,720,346,881
91,21,0,1499,859,1452,713,1546,859
91,4,0,1407,796,1375,667,1440,796
92,1,0,1042,1027,1000,837,1084,1027
92,3,0,934,832,901,681,968,832
92,5,0,307,880,250,721,365,880
92,21,0,1503,858,1460,709,1546,858
92,4,0,1406,799,1375,668,1438,799
93,1,0,1040,1026,998,837,1082,1026
93,3,0,936,832,903,682,969,832
93,5,0,317,876,264,720,371,876
93,21,0,1506,856,1466,707,1546,856
93,4,0,1400,799,1368,669,1432,799
94,1,0,1037,1026,996,838,1079,1026
94,3,0,937,833,905,682,970,833
94,5,0,326,875,278,719,374,875
94,21,0,1507,856,1470,706,1545,856
94,4,0,1398,804,1356,670,1441,804
95,1,0,1035,1026,994,839,1076,1026
95,3,0,935,831,906,683,965,831
95,5,0,332,871,290,716,374,871
95,21,0,1511,853,1478,705,1544,853
95,4,0,1395,808,1346,669,1445,808
96,1,0,1032,1027,992,839,1073,1027
96,3,0,935,831,907,683,964,831
96,5,0,336,871,298,713,374,871
96,21,0,1518,854,1484,705,1553,854
96,4,0,1388,808,1338,669,1439,808
97,1,0,1031,1027,991,839,1071,1027
97,3,0,938,830,908,682,969,830
97,5,0,338,871,302,707,374,871
97,21,0,1527,858,1487,706,1568,858
97,4,0,1380,808,1333,669,1427,808
98,1,0,1030,1027,990,840,1070,1027
98,3,0,941,830,910,680,972,830
98,5,0,340,870,307,703,373,870
98,21,0,1533,861,1488,706,1579,861
98,4,0,1374,807,1332,669,1416,807
98,24,0,1518,860,1486,706,1551,860
99,1,0,1028,1028,989,841,1067,1028
99,3,0,944,831,910,675,978,831
99,5,0,347,871,311,700,384,871
99,21,0,1538,862,1490,707,1586,862
99,4,0,1371,806,1329,672,1414,806
99,24,0,1521,858,1487,705,1555,858
100,1,0,1026,1027,987,842,1065,1027
100,3,0,944,830,911,671,977,830
100,5,0,356,871,315,699,397,871
100,21,0,1540,862,1492,707,1588,862
100,4,0,1361,807,1325,674,1398,807
100,24,0,1525,857,1491,706,1560,857
101,1,0,1024,1027,985,842,1064,1027
101,3,0,942,834,912,669,973,834
101,5,0,361,872,317,697,405,872
101,4,0,1356,809,1319,675,1393,809
101,24,0,1526,857,1490,707,1563,857
102,1,0,1023,1027,983,842,1064,1027
102,3,0,939,835,911,672,968,835
102,5,0,367,870,319,697,415,870
102,4,0,1346,808,1311,678,1381,808
102,24,0,1528,859,1493,708,1563,859
103,1,0,1023,1027,983,843,1063,1027
103,3,0,936,838,908,674,965,838
103,5,0,371,869,322,698,420,869
103,4,0,1341,812,1307,680,1375,812
103,24,0,1525,857,1494,708,1557,857
104,1,0,1022,1028,981,843,1063,1028
104,3,0,936,839,906,678,966,839
104,5,0,374,870,325,700,424,870
104,4,0,1337,812,1303,682,1372,812
104,24,0,1525,855,1496,708,1554,855
105,1,0,1020,1027,978,844,1062,1027
105,3,0,936,841,906,682,967,841
105,5,0,378,872,325,702,431,872
105,4,0,1336,814,1302,682,1371,814
105,24,0,1525,855,1497,709,1554,855
106,1,0,1018,1027,976,844,1061,1027
106,3,0,939,844,910,684,968,844
106,5,0,383,869,339,703,427,869
106,4,0,1337,816,1303,683,1371,816
106,24,0,1525,855,1497,709,1553,855
107,1,0,1016,1027,974,845,1059,1027
107,3,0,942,851,916,688,969,851
107,5,0,391,866,350,704,433,866
107,4,0,1338,829,1305,681,1371,829
107,24,0,1524,856,1496,710,1552,856
108,1,0,1015,1026,972,846,1058,1026
108,3,0,943,853,918,690,968,853
108,5,0,389,864,352,702,427,864
108,4,0,1337,830,1303,680,1372,830
108,24,0,1523,858,1496,711,1551,858
109,1,0,1014,1025,971,847,1058,1025
109,3,0,943,857,919,693,967,857
109,5,0,388,862,353,702,424,862
109,4,0,1337,835,1302,680,1373,835
109,24,0,1521,859,1494,713,1549,859
110,1,0,1013,1025,970,847,1056,1025
110,3,0,943,859,919,695,967,859
110,5,0,389,861,355,700,423,861
110,4,0,1334,836,1298,680,1371,836
110,24,0,1520,858,1491,715,1549,858
111,1,0,1011,1025,970,848,1053,1025
111,3,0,943,860,919,695,968,860
111,5,0,388,862,355,697,422,862
111,4,0,1333,838,1295,681,1371,838
111,24,0,1518,860,1489,716,1547,860
112,1,0,1010,1026,968,848,1052,1026
112,3,0,943,860,919,696,968,860
112,5,0,388,858,357,693,420,858
112,4,0,1333,840,1294,681,1372,840
112,24,0,1517,862,1486,716,1548,862
113,1,0,1008,1027,967,848,1050,1027
113,3,0,943,860,919,696,967,860
113,5,0,394,850,368,690,420,850
113,4,0,1331,838,1292,684,1371,838
113,24,0,1516,865,1482,717,1550,865
114,1,0,1007,1026,966,848,1048,1026
114,3,0,942,861,918,696,967,861
114,5,0,400,848,378,689,422,848
114,4,0,1330,838,1292,686,1368,838
114,24,0,1518,869,1478,716,1559,869
115,1,0,1004,1027,965,848,1044,1027
115,3,0,942,861,918,696,967,861
115,5,0,403,850,381,687,425,850
115,4,0,1326,837,1289,688,1363,837
115,24,0,1518,874,1472,716,1564,874
116,1,0,1003,1027,964,848,1042,1027
116,3,0,942,861,917,695,968,861
116,5,0,404,851,382,687,427,851
116,4,0,1323,838,1287,690,1360,838
116,24,0,1516,879,1469,715,1564,879
117,1,0,1002,1028,963,848,1041,1028
117,3,0,941,861,915,695,968,861
117,5,0,417,858,381,687,454,858
117,4,0,1321,838,1284,691,1358,838
117,24,0,1514,881,1466,715,1563,881
118,1,0,1000,1028,961,848,1040,1028
118,3,0,941,864,914,695,968,864
118,5,0,422,858,383,689,461,858
118,4,0,1318,841,1281,693,1356,841
118,24,0,1512,880,1465,715,1560,880
119,1,0,999,1028,960,848,1039,1028
119,3,0,940,866,912,695,968,866
119,5,0,417,855,384,691,450,855
119,4,0,1316,842,1279,693,1354,842
119,24,0,1510,881,1463,716,1558,881
120,1,0,998,1028,959,848,1038,1028
120,3,0,939,870,911,697,968,870
120,5,0,422,856,385,693,459,856
120,4,0,1313,845,1274,694,1352,845
120,24,0,1511,884,1464,718,1559,884
121,1,0,997,1028,957,848,1037,1028
121,3,0,939,875,910,698,968,875
121,5,0,426,859,386,694,467,859
121,4,0,1310,845,1271,696,1349,845
121,24,0,1509,886,1463,719,1556,886
122,1,0,994,1028,954,848,1035,1028
122,3,0,938,877,909,701,968,877
122,5,0,427,861,386,695,468,861
122,4,0,1307,847,1269,699,1346,847
122,24,0,1500,883,1460,721,1541,883
123,1,0,993,1028,952,848,1034,1028
123,3,0,938,879,909,705,968,879
123,5,0,429,860,387,696,471,860
123,4,0,1305,847,1266,700,1344,847
123,24,0,1496,881,1453,721,1540,881
124,1,0,991,1028,950,848,1033,1028
124,3,0,938,882,908,709,968,882
124,5,0,422,853,388,696,457,853
124,4,0,1304,848,1266,699,1343,848
124,24,0,1492,884,1446,722,1539,884
125,1,0,990,1028,948,848,1032,1028
125,3,0,937,884,907,712,968,884
125,5,0,418,851,387,695,449,851
125,4,0,1303,848,1265,697,1342,848
125,24,0,1488,886,1439,722,1537,886
126,1,0,989,1028,946,848,1032,1028
126,3,0,938,886,907,715,969,886
126,5,0,417,852,387,695,447,852
126,4,0,1302,849,1265,696,1339,849
126,24,0,1483,890,1432,721,1535,890
127,1,0,986,1028,943,850,1030,1028
127,3,0,937,886,906,717,969,886
127,5,0,416,852,387,695,446,852
127,4,0,1301,848,1265,693,1337,848
127,24,0,1476,888,1426,722,1526,888
128,1,0,984,1027,942,851,1027,1027
128,3,0,938,886,907,719,970,886
128,5,0,416,850,387,695,446,850
128,4,0,1300,848,1264,675,1336,848
128,24,0,1472,892,1421,721,1524,892
129,1,0,981,1027,939,851,1024,1027
129,3,0,938,884,906,721,971,884
129,5,0,417,848,390,696,444,848
129,4,0,1299,848,1262,683,1337,848
129,24,0,1467,892,1419,720,1516,892
130,1,0,979,1027,936,851,1022,1027
130,3,0,938,886,906,723,971,886
130,5,0,416,847,391,696,442,847
130,4,0,1300,848,1261,690,1339,848
130,24,0,1464,892,1414,725,1514,892
131,1,0,975,1027,932,852,1019,1027
131,3,0,939,887,906,723,972,887
131,5,0,416,846,392,696,441,846
131,4,0,1300,847,1261,689,1339,847
131,24,0,1458,892,1408,729,1508,892
132,1,0,973,1028,929,853,1017,1028
132,3,0,938,887,906,723,971,887
132,5,0,416,845,393,696,440,845
132,4,0,1300,847,1262,676,1339,847
132,24,0,1443,889,1403,730,1484,889
133,1,0,969,1028,925,852,1013,1028
133,3,0,937,888,906,723,969,888
133,5,0,417,845,393,696,441,845
133,4,0,1301,846,1263,651,1340,846
133,24,0,1442,894,1394,733,1490,894
134,1,0,965,1027,921,853,1009,1027
134,3,0,936,884,907,722,966,884
